name,calories,protein,carbs,fat,fiber
Orange cream tart,197.16,2.58,27.43,8.72,0.64
Pineapple tart,195.4,2.29,28.62,8.21,0.87
Cheese and mushroom tart,246.1,5.51,21.43,15.28,1.18
Cottage cheese pie,238.98,7.45,20.66,13.83,2.21
Minced meat pie,221.55,7.38,18.11,13.04,2.33
Apple cinnamon pie,258.73,3.35,33.68,12.21,1.77
Lemon meringue pie,224.43,3.88,35.11,8.16,0.44
Chocolate meringue pie,214.76,4.98,28.8,9.17,0.37
Cream puffs,221.33,4.7,16.0,15.48,0.38
Chocolate eclairs,239.42,4.24,26.22,13.5,0.33
Cheese balls,681.28,2.21,4.81,72.57,0.18
Minced meat patties,265.72,6.88,15.25,19.57,0.77
Cheese patties,324.01,7.38,22.23,22.67,1.24
Hot cheese souffle,177.1,9.18,5.41,13.23,0.12
Hot potato souffle,125.64,5.51,8.56,7.64,0.66
Hot fish souffle,142.92,11.23,3.69,9.24,0.1
Hot spinach souffle,104.25,5.43,4.19,7.24,0.99
Plain cream cake,353.94,6.18,47.18,16.17,0.71
Apple cake (Seb ka cake),290.08,4.94,39.48,12.87,1.22
Marble cake,354.11,6.3,46.88,16.27,0.71
Chocolate cake,335.61,6.01,45.14,15.18,0.64
Orange cake,357.61,6.1,48.28,16.21,0.83
Fruit Loaf ,324.19,5.36,46.49,13.31,0.87
Banana cake (Kele ka cake),389.51,5.77,40.0,23.31,1.14
Chocolate chiffon cake,311.71,5.76,37.87,15.8,0.7
Christmas cake,372.95,5.49,48.29,16.88,1.49
Strawberry and vanilla cake with butter icing,370.54,3.89,44.25,20.39,0.79
Eggless cake,318.08,8.12,46.14,11.75,0.68
Swiss roll,251.87,7.3,48.34,3.77,0.55
Pineapple pastry ,208.21,6.06,29.04,7.87,0.72
Black forest pastry,233.55,6.09,34.48,8.46,0.54
